rank	word	frequency
917	Deireadh	100
918	Sé	100
919	aitheanta	100
920	bán	100
921	chumas	100
922	cion	100
923	foirne	100
924	gcluiche	100
925	mé	100
926	ordú	100
927	spreagadh	100
928	theacht	100
929	Bhíodh	99
930	Leasú	99
931	Nó	99
932	Oireachtas	99
933	agas	99
934	amhrán	99
935	bháis	99
936	ciúin	99
937	filíochta	99
938	from	99
939	leithéidí	99
940	lámhscríbhinní	99
941	soiléir	99
942	tamaill	99
943	tríú	99
944	tugann	99
945	Bhi	98
946	Breandán	98
947	Leabhar	98
948	Stormont	98
949	anuraidh	98
950	chaint	98
951	choinne	98
952	cuimhneamh	98
953	dá	98
954	eagar	98
955	fáilte	98
956	féachana	98
957	luach	98
958	solas	98
959	theastaigh	98
960	tithe	98
961	fhill	97
962	luaithe	97
963	n-a	97
964	seachtain	97
965	suí	97
966	Bhéarla	96
967	Chill	96
968	chara	96
969	ithe	96
970	Úna	96
971	Iúil	95
972	easpa	95
973	ionadh	95
974	mheas	95
975	ngleic	95
976	talún	95
977	trasna	95
978	Bealtaine	94
979	bualadh	94
980	béim	94
981	cailín	94
982	chúl	94
983	gceart	94
984	láimhe	94
985	mbliain	94
986	oifig	94
987	riachtanais	94
988	siopa	94
989	tharraing	94
990	toradh	94
991	&	93
992	Co.	93
993	ceannais	93
994	díom	93
995	ghlacadh	93
996	linne	93
997	meas	93
998	milliún	93
999	oscail	93
1000	tuairisc	93
1001	Maidir	92
1002	Máirtín	92
1003	aire	92
1004	anonn	92
1005	be	92
1006	beagán	92
1007	n-áirítear	92
1008	oscailt	92
1009	raidió	92
1010	tae	92
1011	thugtar	92
1012	Lig	91
1013	Micheál	91
1014	caitheamh	91
1015	deireanach	91
1016	dhein	91
1017	dochar	91
1018	foghlaim	91
1019	fás	91
1020	gcur	91
1021	laghdú	91
1022	laistigh	91
1023	theanga	91
1024	Aon	90
1025	Caithfidh	90
1026	Choláiste	90
1027	Labhair	90
1028	Níorbh	90
1029	anam	90
1030	bhunú	90
1031	brú	90
1032	conas	90
1033	cás	90
1034	céim	90
1035	dhéantar	90
1036	fiche	90
1037	marbh	90
1038	mbealach	90
1039	ndeachaigh	90
1040	píosa	90
1041	ráite	90
1042	tábhacht	90
1043	Eanáir	89
1044	Eorpach	89
1045	beatha	89
1046	céile	89
1047	faire	89
1048	fhógair	89
1049	fianaise	89
1050	lig	89
1051	or	89
1052	sóisialta	89
1053	Éireannach	89
1054	Oideachais	88
1055	Ros	88
1056	Seans	88
1057	chaibidil	88
1058	chruthú	88
1059	dheas	88
1060	drámaí	88
1061	inis	88
1062	lárnach	88
1063	mhaidin	88
1064	míle	88
1065	oileán	88
1066	scríbhneoir	88
1067	suite	88
1068	Cá	87
1069	ardaigh	87
1070	chlann	87
1071	dhul	87
1072	iarr	87
1073	ionas	87
1074	ligean	87
1075	mBéarla	87
1076	nárbh	87
1077	rialta	87
1078	stáit	87
1079	traidisiún	87
1080	’s	87
1081	…	87
1082	Bean	86
1083	Márta	86
1084	bpobal	86
1085	breith	86
1086	cheap	86
1087	chois	86
1088	chosaint	86
1089	chuirtear	86
1090	deirtear	86
1091	dhéanfaidh	86
1092	foireann	86
1093	had	86
1094	oifigeach	86
1095	scannáin	86
1096	shuí	86
1097	staire	86
1098	tslí	86
1099	(d)	85
1100	Peadar	85
1101	gcóras	85
1102	measa	85
1103	oideachas	85
1104	pháirtí	85
1105	ráiteas	85
1106	tharraingt	85
1107	thús	85
1108	uainn	85
1109	Inis	84
1110	Michael	84
1111	al.	84
1112	amharc	84
1113	bainte	84
1114	bronntanais	84
1115	grá	84
1116	reatha	84
1117	scór	84
1118	shaoil	84
1119	tacú	84
1120	Bhreathnaigh	83
1121	Chomh	83
1122	Dhún	83
1123	Gael	83
1124	Martin	83
1125	Thiarna	83
1126	airigh	83
1127	bua	83
1128	béal	83
1129	críocha	83
1130	feasta	83
1131	focail	83
1132	féach	83
1133	fírinne	83
1134	hamháin	83
1135	iniúchadh	83
1136	taisteal	83
1137	thoradh	83
1138	Aodh	82
1139	Duine	82
1140	Lean	82
1141	Mhac	82
1142	Mura	82
1143	Rialtas	82
1144	Sasana	82
1145	Walsh	82
1146	agaibh	82
1147	ailt	82
1148	airgeadais	82
1149	baill	82
1150	buachaill	82
1151	cinneadh	82
1152	eagrán	82
1153	ghá	82
1154	leanúint	82
1155	leathan	82
1156	páirteach	82
1157	sláinte	82
1158	tógadh	82
1159	áiteanna	82
1160	ól	82
1161	Athair	81
1162	DO	81
1163	Leasaítear	81
1164	aisteach	81
1165	amhráin	81
1166	chodladh	81
1167	chuirfeadh	81
1168	cogadh	81
1169	dubhairt	81
1170	farraige	81
1171	léitheoir	81
1172	scríbhneoirí	81
1173	taistil	81
1174	teilifíse	81
1175	tuismitheoirí	81
1176	uait	81
1177	James	80
1178	Joe	80
1179	agamsa	80
1180	faisnéis	80
1181	glaoch	80
1182	language	80
1183	me	80
1184	pé	80
1185	seanfhear	80
1186	spás	80
1187	stairiúil	80
1188	teaghlach	80
1189	teastáil	80
1190	Amach	79
1191	Deirtear	79
1192	Mo	79
1193	Tadhg	79
1194	bhonn	79
1195	bhreá	79
1196	bhás	79
1197	bunaíodh	79
1198	cheannach	79
1199	cuir	79
1200	cúis	79
1201	galar	79
1202	hoíche	79
1203	meáin	79
1204	mheán	79
1205	pobail	79
1206	saoil	79
1207	staighre	79
1208	tAthair	79
1209	which	79
1210	éileamh	79
1211	Meitheamh	78
1212	Mheiriceá	78
1213	comhrá	78
1214	hiomlán	78
1215	mblianta	78
1216	mhalairt	78
1217	seach	78
1218	seilbh	78
1219	who	78
1220	É	78
1221	Tiarna	77
1222	baol	77
1223	chloigeann	77
1224	chugam	77
1225	cineál	77
1226	cáil	77
1227	dtugtar	77
1228	dúshlán	77
1229	scoth	77
1230	stad	77
1231	suíomh	77
1232	this	77
1233	Ard	76
1234	Oisín	76
1235	Pól	76
1236	Ríordáin	76
1237	ait	76
1238	anocht	76
1239	chairde	76
1240	chinntiú	76
1241	oscailte	76
1242	peitriliam	76
1243	pictiúr	76
1244	seirbhísí	76
1245	sách	76
1246	theach	76
1247	Feabhra	75
1248	dtiocfadh	75
1249	fhágáil	75
1250	fhéin	75
1251	gar	75
1252	gcion	75
1253	leasú	75
1254	samhradh	75
1255	suntasach	75
1256	Claidheamh	74
1257	amú	74
1258	anáil	74
1259	arb	74
1260	bhféadfaí	74
1261	comhalta	74
1262	cuimhin	74
1263	cóir	74
1264	fhir	74
1265	fhonn	74
1266	féadfaidh	74
1267	gcaitheamh	74
1268	ndéanfaí	74
1269	pearsanta	74
1270	shíl	74
1271	soláthar	74
1272	sonraí	74
1273	stádas	74
1274	thuaidh	74
1275	thuismitheoirí	74
1276	éasca	74
1277	AGUS	73
1278	CLG	73
1279	Cathal	73
1280	Chorcaí	73
1281	Chuala	73
1282	Cumann	73
1283	Fianna	73
1284	Féadfaidh	73
1285	Gaelic	73
1286	Loch	73
1287	Pádraic	73
1288	Thóg	73
1289	Tom	73
1290	aimsiú	73
1291	aistriú	73
1292	cumas	73
1293	eachtra	73
1294	gcaoi	73
1295	ghnáth	73
1296	gruaige	73
1297	leag	73
1298	leanúnach	73
1299	ndearnadh	73
1300	ndán	73
1301	scaoileadh	73
1302	seal	73
1303	teaghlaigh	73
1304	trína	73
1305	tumoideachais	73
1306	Árann	73
1307	Achta	72
1308	Féach	72
1309	Lúnasa	72
1310	Mumhan	72
1311	Niamh	72
1312	Scríobh	72
1313	Soluis	72
1314	aniar	72
1315	ariamh	72
1316	bhuaigh	72
1317	boladh	72
1318	chum	72
1319	cánach	72
1320	cúl	72
1321	deiridh	72
1322	dteannta	72
1323	forbairt	72
1324	halt	72
1325	luaite	72
1326	léitheoirí	72
1327	mír	72
1328	múineadh	72
1329	phlé	72
1330	rialtais	72
1331	slua	72
1332	urlár	72
1333	Cuireann	71
1334	bogadh	71
1335	dtír	71
1336	huaire	71
1337	margadh	71
1338	mhinic	71
1339	scáileán	71
1340	taithí	71
1341	teann	71
1342	thuiscint	71
1343	Éire	71
1344	Chumann	70
1345	Diarmuid	70
1346	Néill	70
1347	Rúis	70
1348	bhfoirm	70
1349	cloisteáil	70
1350	dheartháir	70
1351	diabhal	70
1352	domsa	70
1353	dúil	70
1354	earraí	70
1355	gceantar	70
1356	imeachtaí	70
1357	litríochta	70
1358	luaitear	70
1359	léirithe	70
1360	mian	70
1361	níorbh	70
1362	scoláire	70
1363	socrú	70
1364	tarlú	70
1365	tíortha	70
1366	tóir	70
1367	íseal	70
1368	Dún	69
1369	Shasana	69
1370	aisti	69
1371	aistriúcháin	69
1372	bhreise	69
1373	comhairle	69
1374	crann	69
1375	cúram	69
1376	dteach	69
1377	eacnamaíochta	69
1378	faitíos	69
1379	fhad	69
1380	formhór	69
1381	glan	69
1382	gréine	69
1383	leathanach	69
1384	polaitíochta	69
1385	páiste	69
1386	smaointe	69
1387	stop	69
1388	úr	69
1389	Aifrinn	68
1390	Babaí	68
1391	Chonamara	68
1392	Cuir	68
1393	anall	68
1394	dhéanfadh	68
1395	dírithe	68
1396	gContae	68
1397	háite	68
1398	leanaí	68
1399	locht	68
1400	réamhrá	68
1401	smacht	68
1402	stór	68
1403	uaireanta	68
1404	Údarás	68
1405	Chláir	67
1406	Domhnaigh	67
1407	Gharda	67
1408	Tugadh	67
1409	aimsire	67
1410	ainmnithe	67
1411	bord	67
1412	chúram	67
1413	cuireann	67
1414	dearg	67
1415	dtiocfaidh	67
1416	díol	67
1417	feicthe	67
1418	fógra	67
1419	ghrian	67
1420	léirigh	67
1421	mhná	67
1422	pháistí	67
1423	scileanna	67
1424	súl	67
1425	tAcht	67
1426	éalú	67
1427	Eoraip	66
1428	Gach	66
1429	Samhain	66
1430	againne	66
1431	astu	66
1432	chinn	66
1433	comhlacht	66
1434	cúnamh	66
1435	dearcadh	66
1436	dhroim	66
1437	dorcha	66
1438	dtaca	66
1439	fúthu	66
1440	guth	66
1441	imir	66
1442	libh	66
1443	lán-Ghaeilge	66
1444	mban	66
1445	mhair	66
1446	nádúrtha	66
1447	nótaí	66
1448	snámh	66
1449	teagasc	66
1450	torthaí	66
1451	traidisiúnta	66
1452	táirge	66
1453	Aibreán	65
1454	Bhreatain	65
1455	Chun	65
1456	Cásca	65
1457	David	65
1458	Jack	65
1459	Uachtarán	65
1460	anailís	65
1461	caithfidh	65
1462	ceantar	65
1463	choimeád	65
1464	chónaithe	65
1465	deiseanna	65
1466	díriú	65
1467	gclár	65
1468	ghabháil	65
1469	glór	65
1470	gnéithe	65
1471	mhír	65
1472	ndéantar	65
1473	stáisiún	65
1474	theannta	65
1475	éadan	65
1476	As	64
1477	Leis	64
1478	aitheantas	64
1479	ansiúd	64
1480	arbh	64
1481	arm	64
1482	bhrú	64
1483	bhunaigh	64
1484	bonn	64
1485	deacrachtaí	64
1486	dtosach	64
1487	dáiríre	64
1488	earnáil	64
1489	fhianaise	64
1490	gcomhair	64
1491	gcuirfí	64
1492	leigheas	64
1493	lonnaithe	64
1494	muinín	64
1495	ndéanfadh	64
1496	romhainn	64
1497	sheas	64
1498	théann	64
1499	éard	64
1500	Aoife	63
1501	Críost	63
1502	O	63
1503	Teanga	63
1504	Titley	63
1505	aistriúchán	63
1506	aistí	63
1507	bpointe	63
1508	cearta	63
1509	chuimhnigh	63
1510	cúramach	63
1511	fhocal	63
1512	halla	63
1513	háit	63
1514	im	63
1515	iris	63
1516	leagtha	63
1517	léim	63
1518	mara	63
1519	t-ainm	63
1520	teorainn	63
1521	tsraith	63
1522	uasal	63
1523	Éamonn	63
1524	Eo	62
1525	Faoin	62
1526	Gaillimh	62
1527	Grianna	62
1528	Uladh	62
1529	á	62
1530	bóthar	62
1531	chomhair	62
1532	crua	62
1533	dúradh	62
1534	fhírinne	62
1535	gCill	62
1536	gearr	62
1537	múinteoir	62
1538	nGael	62
1539	ollmhór	62
1540	rug	62
1541	trua	62
1542	trá	62
1543	ábalta	62
1544	Dara	61
1545	Seosamh	61
1546	Síochána	61
1547	Thomas	61
1548	are	61
1549	beart	61
1550	bhfianaise	61
1551	blas	61
1552	béil	61
1553	cailleadh	61
1554	cheapadh	61
1555	chorp	61
1556	costas	61
1557	dorais	61
1558	déanfaidh	61
1559	dílis	61
1560	feabhas	61
1561	fosta	61
1562	fuar	61
1563	géar	61
1564	mílte	61
1565	nGaeltacht	61
1566	olc	61
1567	ormsa	61
1568	ó	61
1569	saghas	61
1570	staid	61
1571	teas	61
1572	troid	61
1573	tábhachtaí	61
1574	Bíodh	60
1575	Coláiste	60
1576	Dr	60
1577	Gráinne	60
1578	Phríomh-Acht	60
1579	bainne	60
1580	cara	60
1581	chláir	60
1582	chuici	60
1583	céadta	60
1584	e	60
1585	fadó	60
