rank	word	frequency
1029	liste	87
1030	mauvais	87
1031	moyens	87
1032	ouvert	87
1033	personnel	87
1034	peuple	87
1035	pose	87
1036	attendre	86
1037	avis	86
1038	concerne	86
1039	essentiel	86
1040	expliquer	86
1041	génération	86
1042	lecture	86
1043	neige	86
1044	précise	86
1045	site	86
1046	soin	86
1047	Église	86
1048	évaluation	86
1049	Philippe	85
1050	croissance	85
1051	durée	85
1052	elle-même	85
1053	généralement	85
1054	machine	85
1055	moitié	85
1056	ouverte	85
1057	principe	85
1058	raconte	85
1059	soins	85
1060	techniques	85
1061	théâtre	85
1062	voyage	85
1063	écran	85
1064	anxiété	84
1065	candidats	84
1066	joue	84
1067	outils	84
1068	patients	84
1069	pensée	84
1070	professionnelle	84
1071	puisqu'	84
1072	technique	84
1073	vois	84
1074	-on	83
1075	Ou	83
1076	Union	83
1077	coin	83
1078	comportement	83
1079	dehors	83
1080	démarche	83
1081	entendu	83
1082	h	83
1083	hôtel	83
1084	idées	83
1085	ouvre	83
1086	parole	83
1087	réel	83
1088	régulièrement	83
1089	vit	83
1090	ancienne	82
1091	appartement	82
1092	au-dessus	82
1093	devoir	82
1094	finit	82
1095	huit	82
1096	lire	82
1097	marche	82
1098	rendez	82
1099	responsable	82
1100	risques	82
1101	tels	82
1102	total	82
1103	traitement	82
1104	urgence	82
1105	vide	82
1106	DE	81
1107	choisir	81
1108	facteurs	81
1109	hauteur	81
1110	méthode	81
1111	référence	81
1112	solution	81
1113	voulu	81
1114	Avant	80
1115	Chaque	80
1116	Victor	80
1117	arrière	80
1118	auteurs	80
1119	difficultés	80
1120	entrer	80
1121	février	80
1122	jardin	80
1123	l"	80
1124	murs	80
1125	problèmes	80
1126	réaliser	80
1127	scolaire	80
1128	séries	80
1129	tableau	80
1130	termes	80
1131	trouvé	80
1132	vote	80
1133	écrire	80
1134	Ukraine	79
1135	achat	79
1136	cesse	79
1137	découvrir	79
1138	endroit	79
1139	geste	79
1140	jeux	79
1141	maladie	79
